"rep_id","n_input","beta","n_cat","effect_size_fast","p_value_fast","effect_size_nca","p_value_nca","nca_error"
308,500,0.4,5,0.0625,0.00899100899100899,0.0625,0.015984015984016,NA
309,500,0.4,5,0.0625,0.01998001998002,0.0625,0.014985014985015,NA
310,500,0.4,5,0.0625,0.0669330669330669,0.0625,0.04995004995005,NA
311,500,0.4,5,0.0625,0.01998001998002,0.0625,0.00999000999000999,NA
312,500,0.4,5,0.0625,0.013986013986014,0.0625,0.011988011988012,NA
313,500,0.4,5,0.0625,0.021978021978022,0.0625,0.025974025974026,NA
314,500,0.4,5,0.0625,0.012987012987013,0.0625,0.004995004995005,NA
315,500,0.4,5,0.0625,0.047952047952048,0.0625,0.048951048951049,NA
316,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
317,500,0.4,5,0,1,0,1,NA
318,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
319,500,0.4,5,0.0625,0.018981018981019,0.0625,0.013986013986014,NA
320,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
321,500,0.4,5,0.0625,0.010989010989011,0.0625,0.021978021978022,NA
322,500,0.4,5,0.0625,0.024975024975025,0.0625,0.02997002997003,NA
323,500,0.4,5,0.0625,0.025974025974026,0.0625,0.020979020979021,NA
324,500,0.4,5,0.0625,0.015984015984016,0.0625,0.025974025974026,NA
325,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
326,500,0.4,5,0.0625,0.027972027972028,0.0625,0.022977022977023,NA
327,500,0.4,5,0,1,0,1,NA
328,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
329,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
330,500,0.4,5,0.0625,0.017982017982018,0.0625,0.023976023976024,NA
331,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
332,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
333,500,0.4,5,0.0625,0.014985014985015,0.0625,0.015984015984016,NA
